Version,3.0.0,,,,,,,,,
setCompID,setID,setType,partID,label,enumeration,status,firstReleased,lastUpdated,changes,notes
crosswalkTableSet_version1to2Changes,crosswalkTableSet,dictSets,version1to2Changes,ODM version 1 to 2 changes,15,active,2.2.2,2.2.2,,
crosswalkTableSet_version1Variable,crosswalkTableSet,dictSets,version1Variable,ODM V1 variable,16,active,2.2.2,2.2.2,,
crosswalkTableSet_wSphere,crosswalkTableSet,dictSets,wSphere,World Sphere (W-SPHERE),17,active,2.2.2,2.2.2,,
crosswalkTableSet_wSphereNotes,crosswalkTableSet,dictSets,wSphereNotes,World Sphere (W-SPHERE) notes,18,active,2.2.2,2.2.2,,
dataRepoSet_insdc,dataRepoSet,mmaSets,insdc,International Nucleotide Sequence Database Collaboration (INSDC) Archives,1,active,2.3.0,2.3.0,,
dataRepoSet_genBank,dataRepoSet,mmaSets,genBank,GenBank Archives,2,active,2.3.0,2.3.0,,
dataRepoSet_sra,dataRepoSet,mmaSets,sra,Sequence Read Archive (SRA),3,active,2.3.0,2.3.0,,
dataRepoSet_gisaid,dataRepoSet,mmaSets,gisaid,Global Initiative on Sharing All Influenza Data (GISAID) archives,4,active,2.3.0,2.3.0,,
dataRepoSet_ena,dataRepoSet,mmaSets,ena,European Nucleotide Archive (ENA),5,active,2.3.0,2.3.0,,
dataRepoSet_dra,dataRepoSet,mmaSets,dra,DDBJ sequence Read Archive (DRA),6,active,2.3.0,2.3.0,,
dataRepoSet_gsa,dataRepoSet,mmaSets,gsa,Genome Sequence Archive (GSA),7,active,2.3.0,2.3.0,,
dataRepoSet_enterobase,dataRepoSet,mmaSets,enterobase,Enterobase archives,8,active,2.3.0,2.3.0,,
dataRepoSet_github,dataRepoSet,mmaSets,github,GitHub,9,active,2.3.0,2.3.0,,
dataRepoSet_osf,dataRepoSet,mmaSets,osf,Open Science Foundation (OSF),10,active,2.3.0,2.3.0,,
dataRepoSet_internalRef,dataRepoSet,mmaSets,internalRef,Internal reference,11,active,2.3.0,2.3.0,,
dataRepoSet_ddbj,dataRepoSet,mmaSets,ddbj,DNA Data Bank of Japan (DDBJ),12,active,2.3.0,2.3.0,,
dataRepoSet_zenodo,dataRepoSet,mmaSets,zenodo,Zenodo,13,active,2.3.0,2.3.0,,
dataRepoSet_cardDtbase,dataRepoSet,mmaSets,cardDtbase,Comprehensive Antibiotic Resistance Database (CARD),14,active,2.3.0,2.3.0,,
dataRepoSet_resFinderDtbase,dataRepoSet,mmaSets,resFinderDtbase,ResFinder Database,15,active,2.3.0,2.3.0,,
dataRepoSet_megares,dataRepoSet,mmaSets,megares,MEGARes database,16,active,2.3.0,2.3.0,,
dataRepoSet_ndaro,dataRepoSet,mmaSets,ndaro,National Database of Antibiotic Resistant Organisms (NDARO),17,active,2.3.0,2.3.0,,
dataRepoSet_ardb,dataRepoSet,mmaSets,ardb,Antibiotic Resistance Genes Database (ARDB),18,active,2.3.0,2.3.0,,
dataRepoSet_patricRast,dataRepoSet,mmaSets,patricRast,PATRIC/RAST Database,19,active,2.3.0,2.3.0,,
dataRepoSet_bacMet,dataRepoSet,mmaSets,bacMet,BacMet Database,20,active,2.3.0,2.3.0,,
dataRepoSet_ncbiPDIB,dataRepoSet,mmaSets,ncbiPDIB,NCBI’s Pathogen Detection Isolates Browser,21,active,2.3.0,2.3.0,,
dedupSet_umiTag,dedupSet,mmaSets,umiTag,Unique Molecular Identifier (UMI) Tagging,1,active,2.3.0,2.3.0,,
dedupSet_picard,dedupSet,mmaSets,picard,Picard MarkDuplicates,2,active,2.3.0,2.3.0,,
dedupSet_samRmdup,dedupSet,mmaSets,samRmdup,SAMtools rmdup,3,active,2.3.0,2.3.0,,
dedupSet_clumpify,dedupSet,mmaSets,clumpify,BBMap’s Clumpify,4,active,2.3.0,2.3.0,,
